KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00841.03,KOI-841,,2053586321364864640,,,
K00144.01,KOI-144,Kepler-472 b,2073277200237694464,,,
K02462.01,KOI-2462,,2073539536845074176,0.007987587,0.000420912,0.000401049
K01563.03,KOI-1563,Kepler-305 e,2073547954981763328,,,
K01563.04,KOI-1563,Kepler-305 d,2073547954981763328,,,
K01563.02,KOI-1563,Kepler-305 c,2073547954981763328,,,
K01563.01,KOI-1563,Kepler-305 b,2073547954981763328,,,
K00261.01,KOI-261,Kepler-96 b,2073731161099713408,0.025796192,0.000265209,0.000248527
K01621.01,KOI-1621,Kepler-911 b,2073804411752924288,0.011586464,0.001024693,0.000464142
K00148.03,KOI-148,Kepler-48 d,2075112109039378688,,,
K00148.02,KOI-148,Kepler-48 c,2075112109039378688,,,
K00148.01,KOI-148,Kepler-48 b,2075112109039378688,,,
K00306.01,KOI-306,Kepler-519 A b,2075161655782111872,,,
K00102.01,KOI-102,,2076121602454770560,,,
K00500.04,KOI-500,Kepler-80 e,2076328963475704576,,,
K00500.03,KOI-500,Kepler-80 d,2076328963475704576,,,
K01557.04,KOI-1557,Kepler-304 e,2076565805151925760,,,
K01557.02,KOI-1557,Kepler-304 d,2076565805151925760,,,
K01557.03,KOI-1557,Kepler-304 c,2076565805151925760,,,
K01557.01,KOI-1557,Kepler-304 b,2076565805151925760,,,
K00645.02,KOI-645,,2076601917234347520,,,
K00645.01,KOI-645,Kepler-633 b,2076601917234347520,,,
K00191.02,KOI-191,,2076692386427776768,,,
K00191.04,KOI-191,Kepler-487 c,2076692386427776768,,,
K00448.01,KOI-448,Kepler-159 b,2076764576237957504,,,
K01050.02,KOI-1050,Kepler-755 A c,2076782889978499840,,,
K01050.01,KOI-1050,Kepler-755 A b,2076782889978499840,,,
K00658.03,KOI-658,Kepler-203 d,2076792648144511104,,,
K00658.02,KOI-658,Kepler-203 c,2076792648144511104,,,
K00658.01,KOI-658,Kepler-203 b,2076792648144511104,,,
K00305.01,KOI-305,Kepler-99 B b,2076871091425583232,,,
K00509.02,KOI-509,Kepler-171 c,2076955822541823744,,,
K00509.01,KOI-509,Kepler-171 b,2076955822541823744,,,
K00157.02,KOI-157,Kepler-11 d,2076960598545789824,,,
K00157.06,KOI-157,Kepler-11 b,2076960598545789824,,,
K00094.02,KOI-94,Kepler-89 A c,2076970047474270208,,,
K00094.04,KOI-94,Kepler-89 A b,2076970047474270208,,,
K01364.01,KOI-1364,Kepler-292 f,2077140987172577408,,,
K01364.03,KOI-1364,Kepler-292 e,2077140987172577408,,,
K01364.02,KOI-1364,Kepler-292 d,2077140987172577408,,,
K01364.04,KOI-1364,Kepler-292 c,2077140987172577408,,,
K01364.05,KOI-1364,Kepler-292 b,2077140987172577408,,,
K01692.01,KOI-1692,Kepler-314 c,2077540827141811200,,,
K00564.03,KOI-564,Kepler-603 d,2077556465126659456,,,
K00307.02,KOI-307,Kepler-520 c,2077598384004774912,,,
K00307.01,KOI-307,Kepler-520 b,2077598384004774912,,,
K00671.03,KOI-671,Kepler-208 e,2077750803804146176,,,
K00671.04,KOI-671,Kepler-208 d,2077750803804146176,,,
K00671.02,KOI-671,Kepler-208 c,2077750803804146176,,,
K00671.01,KOI-671,Kepler-208 b,2077750803804146176,,,
K00881.01,KOI-881,Kepler-712 b,2077961463362645632,,,
K00987.01,KOI-987,Kepler-743 A b,2077994272606400512,,,
K01486.02,KOI-1486,Kepler-302 b,2078195212660287616,,,
K00171.02,KOI-171,Kepler-116 c,2078272831307891456,,,
K00171.01,KOI-171,Kepler-116 b,2078272831307891456,,,
K00520.04,KOI-520,Kepler-176 e,2078286197246582016,,,
K00520.02,KOI-520,Kepler-176 b,2078286197246582016,,,
K01353.02,KOI-1353,Kepler-289 b,2078515170549178880,,,
K00238.02,KOI-238,Kepler-123 c,2078697552035948800,,,
K00238.01,KOI-238,Kepler-123 b,2078697552035948800,,,
K00150.02,KOI-150,Kepler-112 c,2078722600285671936,,,
K00150.01,KOI-150,Kepler-112 b,2078722600285671936,,,
K00907.04,KOI-907,Kepler-251 e,2078832551450444032,,,
K00907.02,KOI-907,Kepler-251 d,2078832551450444032,,,
K00907.01,KOI-907,Kepler-251 c,2078832551450444032,,,
K00907.03,KOI-907,Kepler-251 b,2078832551450444032,,,
K00317.01,KOI-317,Kepler-521 b,2079005651508492032,,,
K00105.01,KOI-105,Kepler-463 b,2079192121810035840,,,
K00137.03,KOI-137,Kepler-18 b,2079295583282164992,,,
K00159.01,KOI-159,Kepler-115 c,2079368391569401600,,,
K00159.02,KOI-159,Kepler-115 b,2079368391569401600,,,
K03197.01,KOI-3197,,2079695496278608896,,,
K00700.04,KOI-700,Kepler-215 e,2079885608708649344,,,
K00700.03,KOI-700,Kepler-215 c,2079885608708649344,,,
K00700.02,KOI-700,Kepler-215 b,2079885608708649344,,,
K00941.01,KOI-941,Kepler-257 c,2080246282881778048,,,
K00941.02,KOI-941,Kepler-257 b,2080246282881778048,,,
K00720.02,KOI-720,Kepler-221 d,2080344586094498432,,,
K00720.01,KOI-720,Kepler-221 c,2080344586094498432,,,
K00720.04,KOI-720,Kepler-221 b,2080344586094498432,,,
K00974.01,KOI-974,,2080386917291928832,0.012876367,0.000226143,0.000104673
K00711.01,KOI-711,Kepler-218 c,2080452613110460928,,,
K00711.02,KOI-711,Kepler-218 b,2080452613110460928,,,
K00991.01,KOI-991,Kepler-744 b,2080562667352233728,,,
K00116.02,KOI-116,Kepler-106 e,2082074942519913344,,,
K00116.04,KOI-116,Kepler-106 d,2082074942519913344,,,
K00116.01,KOI-116,Kepler-106 c,2082074942519913344,,,
K00730.04,KOI-730,Kepler-223 b,2086337508581280256,,,
K02390.01,KOI-2390,Kepler-1219 b,2086389357427331712,0.011687234,0.001097303,0.000629202
K02149.01,KOI-2149,Kepler-1121 b,2086505630781210752,,,
K00117.01,KOI-117,Kepler-107 e,2086625752425381632,0.018977908,0.000226891,0.000148141
K00117.04,KOI-117,Kepler-107 d,2086625752425381632,0.006908766,0.000345518,0.000326941
K00117.02,KOI-117,Kepler-107 c,2086625752425381632,0.010804269,0.000213094,0.000221092
K00117.03,KOI-117,Kepler-107 b,2086625752425381632,0.010261309,0.000204442,0.000126842
K00174.01,KOI-174,Kepler-482 b,2086629463276947456,,,
K00756.02,KOI-756,Kepler-228 c,2086660283961964416,,,
K00756.03,KOI-756,Kepler-228 b,2086660283961964416,,,
K00291.01,KOI-291,Kepler-133 c,2086718317558873984,,,
K00291.02,KOI-291,Kepler-133 b,2086718317558873984,,,
K00294.01,KOI-294,Kepler-512 b,2086940448965828992,,,
K00365.01,KOI-365,Kepler-538 A b,2087171453788422528,,,
K02173.02,KOI-2173,Kepler-367 c,2087250476887856256,,,
K02173.01,KOI-2173,Kepler-367 b,2087250476887856256,,,
K00273.01,KOI-273,Kepler-454 A b,2099541715513813504,0.019815502,0.000674328,0.000565336
K00118.01,KOI-118,Kepler-467 b,2099605968225288960,0.015241992,0.000782911,0.000425561
K00975.01,KOI-975,Kepler-21 A b,2099606483621385216,0.008451549,0.00015781,0.000162714
K00281.01,KOI-281,Kepler-510 b,2099656472742686848,0.015600167,0.000540432,0.000236935
K00299.01,KOI-299,Kepler-98 b,2099862910348755712,,,
K00377.03,KOI-377,Kepler-9 d,2099925719951103872,,,
K01215.02,KOI-1215,Kepler-277 c,2100389610777053056,,,
K00280.01,KOI-280,Kepler-1655 b,2100392428275714688,0.019292127,0.000366552,0.000465685
K03168.01,KOI-3168,,2100416823690394624,0.005836187,0.000352947,0.000361122
K00161.01,KOI-161,Kepler-475 b,2100597143598879616,,,
K00834.05,KOI-834,Kepler-238 f,2100624562669914240,,,
K00834.02,KOI-834,Kepler-238 d,2100624562669914240,,,
K00834.03,KOI-834,Kepler-238 c,2100624562669914240,,,
K00834.04,KOI-834,Kepler-238 b,2100624562669914240,,,
K00304.01,KOI-304,Kepler-518 b,2100906140725803392,,,
K00123.02,KOI-123,Kepler-109 c,2101175933393051008,0.018018052,0.000221235,0.000181979
K00123.01,KOI-123,Kepler-109 b,2101175933393051008,0.015993324,0.000464641,0.000111475
K00829.02,KOI-829,Kepler-53 d,2101188990094347648,,,
K01805.02,KOI-1805,Kepler-319 d,2101230049979183232,,,
K01805.01,KOI-1805,Kepler-319 c,2101230049979183232,,,
K01805.03,KOI-1805,Kepler-319 b,2101230049979183232,,,
K00108.01,KOI-108,Kepler-103 b,2101243789577188736,0.021956717,0.00034236,0.000208512
K00282.03,KOI-282,Kepler-130 A d,2101305259145506816,0.010613601,0.001466788,0.000973819
K00282.02,KOI-282,Kepler-130 A b,2101305259145506816,0.007929106,0.000224517,0.000281284
K00176.01,KOI-176,Kepler-483 b,2101719263935952768,,,
K00041.03,KOI-41,Kepler-100 d,2101733244046205568,0.009168564,0.000384615,0.000197729
K00041.01,KOI-41,Kepler-100 c,2101733244046205568,0.013445775,0.000131194,0.00010093
K00041.02,KOI-41,Kepler-100 b,2101733244046205568,0.007897869,0.00040951,0.000176509
K00869.04,KOI-869,Kepler-245 e,2101768089124657664,,,
K00869.03,KOI-869,Kepler-245 c,2101768089124657664,,,
K00869.01,KOI-869,Kepler-245 b,2101768089124657664,,,
K01127.03,KOI-1127,,2101854881822529024,,,
K01127.02,KOI-1127,Kepler-269 c,2101854881822529024,,,
K00665.01,KOI-665,Kepler-207 d,2101898759208960640,,,
K00665.03,KOI-665,Kepler-207 c,2101898759208960640,,,
K00665.02,KOI-665,Kepler-207 b,2101898759208960640,,,
K00672.01,KOI-672,Kepler-209 b,2101964558106974848,,,
K00408.03,KOI-408,Kepler-150 e,2102063136195478656,,,
K00408.02,KOI-408,Kepler-150 d,2102063136195478656,,,
K00408.01,KOI-408,Kepler-150 c,2102063136195478656,,,
K00408.04,KOI-408,Kepler-150 b,2102063136195478656,,,
K01567.04,KOI-1567,Kepler-306 e,2102067396802935680,,,
K01567.03,KOI-1567,Kepler-306 d,2102067396802935680,,,
K01567.01,KOI-1567,Kepler-306 c,2102067396802935680,,,
K01567.02,KOI-1567,Kepler-306 b,2102067396802935680,,,
K00283.01,KOI-283,Kepler-131 b,2102110174677569664,,,
K00085.03,KOI-85,Kepler-65 d,2102119176929154304,0.00985064,0.000363381,0.000243223
K00085.01,KOI-85,Kepler-65 c,2102119176929154304,0.016814724,0.000260487,0.000150943
K00085.02,KOI-85,Kepler-65 b,2102119176929154304,0.009216847,9.26E-05,7.59E-05
K00285.03,KOI-285,Kepler-92 d,2102224661326132864,0.011016287,0.000366408,0.000290364
K00285.02,KOI-285,Kepler-92 c,2102224661326132864,0.013086286,0.000264378,0.000267953
K00285.01,KOI-285,Kepler-92 b,2102224661326132864,0.019450517,0.000177172,0.000683642
K02086.03,KOI-2086,Kepler-60 d,2102316985943863424,,,
K02086.01,KOI-2086,Kepler-60 b,2102316985943863424,,,
K00111.03,KOI-111,Kepler-104 A d,2102454253097554304,,,
K00111.02,KOI-111,Kepler-104 A c,2102454253097554304,,,
K00111.01,KOI-111,Kepler-104 A b,2102454253097554304,,,
K00864.02,KOI-864,Kepler-244 d,2102469921138142208,,,
K00864.03,KOI-864,Kepler-244 c,2102469921138142208,,,
K00864.01,KOI-864,Kepler-244 b,2102469921138142208,,,
K00070.05,KOI-70,Kepler-20 A f,2102548708017562112,,,
K00070.03,KOI-70,Kepler-20 A d,2102548708017562112,,,
K00070.01,KOI-70,Kepler-20 A c,2102548708017562112,,,
K00070.02,KOI-70,Kepler-20 A b,2102548708017562112,,,
K00456.02,KOI-456,Kepler-160 b,2102587087846067712,,,
K00679.01,KOI-679,Kepler-212 c,2102610280669509888,,,
K00679.02,KOI-679,Kepler-212 b,2102610280669509888,,,
K00872.02,KOI-872,Kepler-46 d,2102700131386216576,,,
K01952.04,KOI-1952,Kepler-341 e,2102815683186036096,,,
K01952.02,KOI-1952,Kepler-341 d,2102815683186036096,,,
K01952.01,KOI-1952,Kepler-341 c,2102815683186036096,,,
K01952.03,KOI-1952,Kepler-341 b,2102815683186036096,,,
K00884.03,KOI-884,Kepler-247 b,2102911581215700096,,,
K00446.02,KOI-446,Kepler-158 c,2103295173333142784,,,
K00446.01,KOI-446,Kepler-158 b,2103295173333142784,,,
K00257.01,KOI-257,Kepler-506 b,2103452266056715392,0.023572877,0.000208695,0.000218459
K00505.05,KOI-505,Kepler-169 f,2103788854053938816,,,
K00505.01,KOI-505,Kepler-169 e,2103788854053938816,,,
K00505.04,KOI-505,Kepler-169 d,2103788854053938816,,,
K00505.02,KOI-505,Kepler-169 c,2103788854053938816,,,
K00505.03,KOI-505,Kepler-169 b,2103788854053938816,,,
K00612.02,KOI-612,Kepler-196 c,2104094071610116608,,,
K00612.01,KOI-612,Kepler-196 b,2104094071610116608,,,
K00508.02,KOI-508,Kepler-170 c,2104098950692667264,,,
K00508.01,KOI-508,Kepler-170 b,2104098950692667264,,,
K01930.04,KOI-1930,Kepler-338 e,2104344141784539264,0.008378312,0.00033007,0.000184589
K01930.03,KOI-1930,Kepler-338 d,2104344141784539264,0.014015585,0.000234993,0.000440641
K01930.02,KOI-1930,Kepler-338 c,2104344141784539264,0.013112198,0.000194923,0.000353649
K01930.01,KOI-1930,Kepler-338 b,2104344141784539264,0.01362525,0.00019715,0.000290067
K00657.02,KOI-657,Kepler-202 c,2104376405579347968,,,
K00657.01,KOI-657,Kepler-202 b,2104376405579347968,,,
K02148.01,KOI-2148,Kepler-363 d,2104466153215402624,,,
K02148.02,KOI-2148,Kepler-363 c,2104466153215402624,,,
K02148.03,KOI-2148,Kepler-363 b,2104466153215402624,,,
K00284.01,KOI-284,Kepler-132 A d,2104466256290759936,,,
K00284.02,KOI-284,Kepler-132 A c,2104466256290759936,,,
K00284.03,KOI-284,Kepler-132 A b,2104466256290759936,,,
K00510.04,KOI-510,Kepler-172 e,2104506319750394624,,,
K00510.03,KOI-510,Kepler-172 d,2104506319750394624,,,
K00510.02,KOI-510,Kepler-172 c,2104506319750394624,,,
K00510.01,KOI-510,Kepler-172 b,2104506319750394624,,,
K00313.01,KOI-313,Kepler-137 c,2104847370214740352,,,
K00313.02,KOI-313,Kepler-137 b,2104847370214740352,,,
K00092.01,KOI-92,,2105135854577044480,0.026158138,0.000800353,0.000821784
K00316.03,KOI-316,,2105362903731391744,,,
K00316.01,KOI-316,Kepler-139 b,2105362903731391744,,,
K00416.02,KOI-416,Kepler-152 c,2105435544515167232,,,
K00416.01,KOI-416,Kepler-152 b,2105435544515167232,,,
K02051.01,KOI-2051,Kepler-355 c,2105535462635217792,,,
K02051.02,KOI-2051,Kepler-355 b,2105535462635217792,,,
K00568.01,KOI-568,Kepler-605 b,2105618029085927680,,,
K00269.01,KOI-269,,2105620159389754624,0.009787217,0.000341728,0.000264215
K00518.02,KOI-518,Kepler-174 c,2106008493152187392,,,
K00518.01,KOI-518,Kepler-174 b,2106008493152187392,,,
K02414.02,KOI-2414,Kepler-384 c,2106306495162679552,,,
K02414.01,KOI-2414,Kepler-384 b,2106306495162679552,,,
K00245.01,KOI-245,Kepler-37 d,2106674071344722688,0.022785991,0.000289352,0.000241276
K00122.01,KOI-122,Kepler-95 b,2106705269988803072,0.02078208,0.00046844,0.000151321
K00323.01,KOI-323,Kepler-523 b,2106821925598401152,,,
K00701.01,KOI-701,Kepler-62 d,2107001283431633408,,,
K00701.02,KOI-701,Kepler-62 b,2107001283431633408,,,
K00110.01,KOI-110,Kepler-465 b,2107236613280607104,,,
K00180.01,KOI-180,Kepler-484 b,2107243072911617024,,,
K02037.03,KOI-2037,,2107244481660894592,,,
K02037.02,KOI-2037,,2107244481660894592,,,
K02037.01,KOI-2037,,2107244481660894592,,,
K00271.01,KOI-271,Kepler-127 d,2107266570672734592,0.017986654,0.000640128,0.000325374
K00271.03,KOI-271,Kepler-127 b,2107266570672734592,0.010275355,0.000289026,0.000801974
K02706.01,KOI-2706,,2107315365800640896,0.008848756,0.000206092,0.000140953
K02545.01,KOI-2545,Kepler-1274 b,2107342716152550272,0.00611029,0.000316504,0.000281078
K03097.01,KOI-3097,Kepler-431 d,2116862833283266432,,,
K01537.01,KOI-1537,,2119196585370036736,,,
K00082.01,KOI-82,Kepler-102 e,2119583201145735808,,,
K00082.02,KOI-82,Kepler-102 d,2119583201145735808,,,
K00104.01,KOI-104,Kepler-94 b,2119602202081351168,,,
K00475.02,KOI-475,Kepler-165 c,2119814820141727232,,,
K00475.01,KOI-475,Kepler-165 b,2119814820141727232,,,
K02678.01,KOI-2678,Kepler-1313 b,2125713940547834496,,,
K02339.01,KOI-2339,Kepler-1197 b,2125790322246812672,,,
K00567.03,KOI-567,Kepler-184 d,2125831210335846016,,,
K00567.02,KOI-567,Kepler-184 c,2125831210335846016,,,
K00567.01,KOI-567,Kepler-184 b,2125831210335846016,,,
K00880.03,KOI-880,Kepler-82 e,2125850623586710400,,,
K00880.04,KOI-880,Kepler-82 d,2125850623586710400,,,
K00370.02,KOI-370,Kepler-145 b,2126237131982289280,0.012434472,0.000487635,0.001377838
K00896.03,KOI-896,,2126266823097360000,,,
K00896.01,KOI-896,Kepler-248 c,2126266823097360000,,,
K00896.02,KOI-896,Kepler-248 b,2126266823097360000,,,
K01270.01,KOI-1270,Kepler-57 b,2126418658780855296,,,
K01279.02,KOI-1279,Kepler-804 c,2126432677554353280,,,
K01279.01,KOI-1279,Kepler-804 b,2126432677554353280,,,
K00172.01,KOI-172,Kepler-69 b,2126436800722944000,,,
K00464.02,KOI-464,Kepler-561 c,2126454633427425664,,,
K01282.01,KOI-1282,Kepler-805 b,2126508676995012352,0.015039786,0.000607367,0.000469059
K00139.02,KOI-139,Kepler-111 b,2126569051355142656,,,
K00921.02,KOI-921,Kepler-253 d,2126576679217244160,,,
K00921.01,KOI-921,Kepler-253 c,2126576679217244160,,,
K00921.03,KOI-921,Kepler-253 b,2126576679217244160,,,
K00321.01,KOI-321,Kepler-406 b,2126601108991279872,,,
K00049.01,KOI-49,Kepler-461 b,2126801563705846528,,,
K01858.02,KOI-1858,,2126878048483137152,,,
K00260.03,KOI-260,Kepler-126 c,2126918008858627712,0.010202141,0.000323555,0.000404353
K00260.01,KOI-260,Kepler-126 b,2126918008858627712,0.009801322,0.000119736,8.12E-05
K00692.02,KOI-692,Kepler-213 c,2127001056345369984,,,
K00692.01,KOI-692,Kepler-213 b,2127001056345369984,,,
K00707.02,KOI-707,Kepler-33 f,2127355923723254272,,,
K00707.03,KOI-707,Kepler-33 e,2127355923723254272,,,
K00707.04,KOI-707,Kepler-33 c,2127355923723254272,,,
K00707.05,KOI-707,Kepler-33 b,2127355923723254272,,,
K02595.02,KOI-2595,Kepler-393 c,2127390970655877888,,,
K02595.01,KOI-2595,Kepler-393 b,2127390970655877888,,,
K02038.04,KOI-2038,Kepler-85 e,2127398083121764736,,,
K02038.03,KOI-2038,Kepler-85 d,2127398083121764736,,,
K00718.03,KOI-718,Kepler-219 d,2127771917075703424,,,
K00718.02,KOI-718,Kepler-219 c,2127771917075703424,,,
K00718.01,KOI-718,Kepler-219 b,2127771917075703424,,,
K01598.02,KOI-1598,Kepler-310 d,2127798442794047104,,,
K01598.01,KOI-1598,Kepler-310 c,2127798442794047104,,,
K01598.03,KOI-1598,Kepler-310 b,2127798442794047104,,,
K01929.01,KOI-1929,Kepler-337 c,2127851116271982848,,,
K01929.02,KOI-1929,Kepler-337 b,2127851116271982848,,,
K00935.04,KOI-935,,2128013019361703936,,,
K00708.01,KOI-708,Kepler-216 c,2128067720065692672,,,
K00708.02,KOI-708,Kepler-216 b,2128067720065692672,,,
K01835.03,KOI-1835,Kepler-326 d,2128098197152438144,,,
K01835.01,KOI-1835,Kepler-326 c,2128098197152438144,,,
K01835.02,KOI-1835,Kepler-326 b,2128098197152438144,,,
K01955.01,KOI-1955,Kepler-342 b,2128298617506651904,,,
K00749.03,KOI-749,Kepler-226 d,2128504397979254528,,,
K00749.01,KOI-749,Kepler-226 c,2128504397979254528,,,
K00749.02,KOI-749,Kepler-226 b,2128504397979254528,,,
K00343.03,KOI-343,Kepler-142 d,2128724678262662144,,,
K00343.01,KOI-343,Kepler-142 c,2128724678262662144,,,
K00343.02,KOI-343,Kepler-142 b,2128724678262662144,,,
K01931.02,KOI-1931,Kepler-339 d,2128911251641171200,,,
K01931.03,KOI-1931,Kepler-339 c,2128911251641171200,,,
K01931.01,KOI-1931,Kepler-339 b,2128911251641171200,,,
K00124.02,KOI-124,Kepler-110 c,2128925579652377472,,,
K00124.01,KOI-124,Kepler-110 b,2128925579652377472,,,
K00481.02,KOI-481,Kepler-166 d,2129025841368107136,,,
K00481.03,KOI-481,Kepler-166 c,2129025841368107136,,,
K00481.01,KOI-481,Kepler-166 b,2129025841368107136,,,
K00719.03,KOI-719,Kepler-220 e,2129084935820532608,,,
K00719.02,KOI-719,Kepler-220 d,2129084935820532608,,,
K00719.01,KOI-719,Kepler-220 c,2129084935820532608,,,
K00733.04,KOI-733,Kepler-224 e,2129161734133025408,,,
K00733.02,KOI-733,Kepler-224 d,2129161734133025408,,,
K00733.01,KOI-733,Kepler-224 c,2129161734133025408,,,
K00733.03,KOI-733,Kepler-224 b,2129161734133025408,,,
K00276.01,KOI-276,Kepler-509 b,2129495057954829952,0.020543119,0.00039702,0.001459337
K01306.04,KOI-1306,Kepler-286 e,2129503716608032256,,,
K01306.03,KOI-1306,Kepler-286 d,2129503716608032256,,,
K01306.02,KOI-1306,Kepler-286 c,2129503716608032256,,,
K01306.01,KOI-1306,Kepler-286 b,2129503716608032256,,,
K00246.01,KOI-246,Kepler-68 A b,2129550445852902656,0.01741999,0.000179393,0.000114723
K00173.01,KOI-173,Kepler-481 b,2129753580626548736,,,
K00584.03,KOI-584,Kepler-192 d,2130243550494676480,,,
K00584.02,KOI-584,Kepler-192 c,2130243550494676480,,,
K00584.01,KOI-584,Kepler-192 b,2130243550494676480,,,
K00934.03,KOI-934,Kepler-254 d,2130250731680096384,,,
K00934.02,KOI-934,Kepler-254 c,2130250731680096384,,,
K00934.01,KOI-934,Kepler-254 b,2130250731680096384,,,
K03165.01,KOI-3165,,2130320172711659136,,,
K00115.02,KOI-115,Kepler-105 c,2130368310704421120,,,
K00115.01,KOI-115,Kepler-105 b,2130368310704421120,,,
K00954.02,KOI-954,Kepler-259 c,2130405041264941184,,,
K00954.01,KOI-954,Kepler-259 b,2130405041264941184,,,
K00723.02,KOI-723,Kepler-222 d,2130460394803778816,,,
K00723.01,KOI-723,Kepler-222 b,2130460394803778816,,,
K01529.02,KOI-1529,Kepler-59 b,2130625287187139072,,,
K00528.03,KOI-528,Kepler-178 c,2130634667395736704,,,
K00528.01,KOI-528,Kepler-178 b,2130634667395736704,,,
K01909.03,KOI-1909,Kepler-334 d,2130661880308812800,,,
K01909.01,KOI-1909,Kepler-334 c,2130661880308812800,,,
K01909.02,KOI-1909,Kepler-334 b,2130661880308812800,,,
K00757.03,KOI-757,Kepler-229 b,2131114947819394816,,,
K02533.03,KOI-2533,,2131169545443676032,,,
K02533.01,KOI-2533,Kepler-1270 b,2131169545443676032,,,
K00292.01,KOI-292,Kepler-97 b,2131216137248338304,,,
K00275.02,KOI-275,Kepler-129 c,2131494313689868416,0.014011089,0.000460091,0.000352455
K00275.01,KOI-275,Kepler-129 b,2131494313689868416,0.013383262,0.000279201,0.000197524
K00046.02,KOI-46,Kepler-101 c,2131709921047710336,,,
K01445.01,KOI-1445,Kepler-853 b,2131859244171951616,,,
K02639.01,KOI-2639,,2132004074768150400,,,
K00072.02,KOI-72,Kepler-10 c,2132155017099178624,0.019955325,0.000523458,0.000203783
K02632.01,KOI-2632,Kepler-1298 b,2132178725317511936,0.006734134,0.000411939,0.000305645
K00351.04,KOI-351,Kepler-90 e,2132193431285570304,,,
K00351.03,KOI-351,Kepler-90 d,2132193431285570304,,,
K00351.05,KOI-351,Kepler-90 c,2132193431285570304,,,
K00351.06,KOI-351,Kepler-90 b,2132193431285570304,,,
K00295.02,KOI-295,Kepler-134 c,2132215421518219392,,,
K00295.01,KOI-295,Kepler-134 b,2132215421518219392,,,
K00296.01,KOI-296,Kepler-513 b,2132325200882204544,,,
K01883.01,KOI-1883,Kepler-997 b,2132709613336959744,0.00807141,0.000238637,0.000229436
K01781.02,KOI-1781,Kepler-411 A b,2132768956905956352,,,
K01832.03,KOI-1832,Kepler-325 d,2133021810218800384,,,
K01832.02,KOI-1832,Kepler-325 c,2133021810218800384,,,
K01832.01,KOI-1832,Kepler-325 b,2133021810218800384,,,
K00435.06,KOI-435,Kepler-154 f,2133022669212268800,,,
K00435.04,KOI-435,Kepler-154 e,2133022669212268800,,,
K00435.05,KOI-435,Kepler-154 c,2133022669212268800,,,
K00435.03,KOI-435,Kepler-154 b,2133022669212268800,,,
K02218.02,KOI-2218,Kepler-373 c,2133124511477266176,,,
K02218.01,KOI-2218,Kepler-373 b,2133124511477266176,,,
K00153.01,KOI-153,Kepler-113 c,2133369840008452224,,,
K00153.02,KOI-153,Kepler-113 b,2133369840008452224,,,
K00297.01,KOI-297,Kepler-514 A b,2133611659549905024,,,
K00112.02,KOI-112,Kepler-466 c,2134719834131370496,,,
K00112.01,KOI-112,Kepler-466 b,2134719834131370496,,,
K00107.01,KOI-107,Kepler-464 b,2134798444914611712,0.019689191,0.000418048,0.00030604
